file_number,mc_steps,mc_temperature,mc_time
1, 1, 200,6.61288e-11 
2, 2, 200,1.32258e-10 
3, 3, 200,1.98387e-10 
4, 4, 200,2.64515e-10 
5, 5, 200,3.30644e-10 
6, 6, 200,3.96773e-10 
7, 7, 200,4.62902e-10 
8, 8, 200,5.29031e-10 
9, 9, 200,5.9516e-10 
10, 10, 200,6.61288e-10 
11, 16, 200,1.05806e-09 
12, 24, 200,1.58709e-09 
13, 38, 200,2.5129e-09 
14, 61, 200,4.03386e-09 
15, 96, 200,6.34837e-09 
16, 152, 200,1.00516e-08 
17, 240, 200,1.58709e-08 
18, 380, 200,2.5129e-08 
19, 603, 200,3.98757e-08 
20, 955, 200,6.3153e-08 
21, 1513, 200,1.00053e-07 
