file_number,mc_steps,mc_temperature,mc_time
1, 1, 50,0.00239042 
2, 2, 50,0.00478084 
3, 3, 50,0.00717125 
4, 4, 50,0.00956167 
5, 5, 50,0.0119521 
6, 6, 50,0.0143425 
7, 7, 50,0.0167329 
8, 11, 50,0.0262946 
9, 17, 50,0.0406371 
10, 27, 50,0.0645413 
11, 42, 50,0.100398 
12, 67, 50,0.160158 
13, 106, 50,0.253384 
14, 167, 50,0.3992 
15, 264, 50,0.63107 
16, 419, 50,1.00158 
17, 664, 50,1.58724 
18, 1051, 50,2.51233 
19, 1666, 50,3.98244 
20, 2640, 50,6.3107 
21, 4184, 50,10.0015 
