file_number,mc_steps,mc_temperature,mc_time
1, 1, 250,2.07262e-11 
2, 2, 250,4.14523e-11 
3, 3, 250,6.21785e-11 
4, 4, 250,8.29046e-11 
5, 5, 250,1.03631e-10 
6, 6, 250,1.24357e-10 
7, 8, 250,1.65809e-10 
8, 13, 250,2.6944e-10 
9, 20, 250,4.14523e-10 
10, 31, 250,6.42511e-10 
11, 49, 250,1.01558e-09 
12, 77, 250,1.59591e-09 
13, 122, 250,2.52859e-09 
14, 193, 250,4.00015e-09 
15, 305, 250,6.32148e-09 
16, 483, 250,1.00107e-08 
17, 765, 250,1.58555e-08 
18, 1212, 250,2.51201e-08 
19, 1921, 250,3.98149e-08 
20, 3045, 250,6.31111e-08 
21, 4825, 250,1.00004e-07 
