Filename,X,Y,Neighbors
m132.svg,371.0,213.4,13 | 141 | 198 | 65
m133.svg,368.0,208.2,24 | 7
m134.svg,357.0,216.9,214 | 205 | 179 | 46
m135.svg,370.0,222.1,27 | 178 | 179 | 15
m136.svg,369.0,220.3,36 | 47 | 196 | 165
m137.svg,362.0,225.5,225 | 162 | 6 | 62
m138.svg,364.0,211.7,173 | 44 | 142 | 74 | 60 | 118
m139.svg,365.0,210.0,56 | 74 | 210 | 106
m140.svg,364.0,208.2,69 | 67 | 196 | 193
m141.svg,365.0,206.5,71 | 14 | 11 | 24 | 210 | 38
m142.svg,363.0,206.5,174 | 119 | 196 | 135 | 205 | 11
m143.svg,365.0,206.5,135 | 145 | 205 | 38 | 11
m144.svg,367.0,203.0,196 | 139 | 119
m145.svg,373.0,210.0,193 | 145 | 66 | 123
m146.svg,375.0,210.0,205 | 117 | 66 | 94
m147.svg,380.0,208.2,163 | 155
m148.svg,376.0,222.1,202 | 203 | 105
m149.svg,366.0,208.2,190 | 196 | 15 | 159
m150.svg,362.0,218.6,85 | 66 | 14 | 197
m151.svg,368.0,208.2,159 | 163 | 59 | 48
m152.svg,380.0,208.2,164 | 98 | 120
m153.svg,382.0,218.6,87 | 173 | 200 | 165
m154.svg,375.0,220.3,102 | 23 | 104 | 162
m155.svg,371.0,220.3,76 | 64 | 145
m156.svg,370.0,215.1,75 | 214 | 155 | 204
m157.svg,374.0,204.8,208 | 138 | 8 | 88
m158.svg,380.0,215.1,62 | 170 | 87 | 200
m159.svg,376.0,215.1,95 | 112 | 173 | 170
m160.svg,375.0,213.4,98 | 120 | 213 | 33 | 95 | 42
m161.svg,374.0,211.7,156 | 67 | 98 | 120 | 178 | 145
m162.svg,373.0,213.4,111 | 98 | 90 | 33 | 178 | 192
m163.svg,373.0,213.4,111 | 98 | 90 | 33 | 29 | 45
m164.svg,365.0,216.9,217
m165.svg,419.0,255.0,140 | 81 | 35 | 24 | 124
m166.svg,413.0,258.4,93 | 135 | 54 | 30
m167.svg,269.0,2.1,3 | 129
m168.svg,413.0,244.6,133 | 137 | 154 | 43 | 222
m169.svg,410.0,253.3,150
m170.svg,413.0,258.4,31 | 212 | 82 | 89
m171.svg,415.0,258.4,13 | 134 | 3 | 177
m172.svg,416.0,260.2,97 | 177
m173.svg,417.0,248.1,189 | 43 | 135
m174.svg,413.0,258.4,115 | 225 | 169 | 151
m175.svg,269.0,2.1,131 | 153 | 35 | 70
m176.svg,263.0,2.1,69 | 65 | 35
m177.svg,274.0,3.8,161 | 70 | 12
m178.svg,416.0,260.2,138
m179.svg,420.0,249.8,151 | 149 | 34 | 133
m180.svg,423.0,251.5,69 | 92 | 62 | 40
m181.svg,271.0,2.1,195 | 134 | 80
m182.svg,425.0,258.4,6 | 70 | 80 | 195
m183.svg,273.0,2.1,92 | 124 | 151
m184.svg,281.0,2.1,
m185.svg,431.0,258.4,218 | 95 | 161 | 139
m186.svg,419.0,251.5,222 | 81 | 108
m187.svg,422.0,239.4,135 | 34 | 30
m188.svg,427.0,241.1,93 | 103 | 14 | 198
m189.svg,423.0,241.1,149 | 95 | 171 | 14
m190.svg,430.0,242.9,137 | 4 | 172 | 29
m191.svg,419.0,248.1,
m192.svg,430.0,235.9,31 | 65 | 93 | 138
m193.svg,430.0,232.5,6 | 100 | 181 | 31
m194.svg,429.0,230.7,135 | 151 | 100
m195.svg,421.0,241.1,225 | 209 | 56 | 62
m196.svg,426.0,229.0,70 | 125 | 198 | 76
m197.svg,430.0,242.9,192 | 68 | 90
m198.svg,406.0,222.1,
m199.svg,383.0,210.0,59
m200.svg,388.0,215.1,78 | 99 | 164 | 87
m201.svg,392.0,204.8,19 | 88 | 162 | 59
m202.svg,408.0,197.8,
m203.svg,400.0,204.8,119 | 124 | 101 | 16
m204.svg,404.0,201.3,45
m205.svg,392.0,204.8,172 | 38 | 86 | 48
m206.svg,389.0,206.5,86 | 167 | 117 | 9 | 201 | 49
m207.svg,382.0,218.6,77 | 58
m208.svg,389.0,220.3,7 | 75 | 27
m209.svg,403.0,223.8,20 | 154 | 79 | 144 | 160
m210.svg,397.0,223.8,94 | 97 | 88 | 87 | 64 | 108
m211.svg,392.0,204.8,167 | 28
m212.svg,401.0,203.0,18 | 46 | 66 | 125
m213.svg,402.0,225.5,209 | 142 | 69 | 143
m214.svg,399.0,220.3,76 | 17 | 49 | 40
m215.svg,397.0,199.6,186 | 93
m216.svg,406.0,204.8,93 | 165 | 204 | 194
m217.svg,404.0,204.8,77 | 89 | 93 | 73
m218.svg,400.0,204.8,93 | 170
m219.svg,399.0,216.9,171 | 116 | 204 | 73
m220.svg,397.0,220.3,210 | 79 | 111 | 92
m221.svg,412.0,225.5,90 | 79 | 10
