file_number,mc_steps,mc_temperature,mc_time
1, 1, 150,4.57275e-10 
2, 2, 150,9.14551e-10 
3, 3, 150,1.37183e-09 
4, 4, 150,1.8291e-09 
5, 5, 150,2.28638e-09 
6, 6, 150,2.74365e-09 
7, 7, 150,3.20093e-09 
8, 8, 150,3.6582e-09 
9, 9, 150,4.11548e-09 
10, 14, 150,6.40186e-09 
11, 22, 150,1.00601e-08 
12, 35, 150,1.60046e-08 
13, 55, 150,2.51502e-08 
14, 88, 150,4.02402e-08 
15, 138, 150,6.3104e-08 
16, 219, 150,1.00143e-07 
17, 347, 150,1.58675e-07 
18, 550, 150,2.51502e-07 
19, 871, 150,3.98287e-07 
20, 1380, 150,6.3104e-07 
21, 2187, 150,1.00006e-06 
